review_body;Results;Value
Ich habe den Artikel bis heute nicht erhalten. Der Betrag wurde aber trotzdem schon längst von meinem Konto abgebucht. Nachdem ich gleich zwei Infozettel an einem Tag vom Lieferanten (DPD) im Briefkasten hatte, suchte ich mir in deren Online-Portal ein neues Lieferdatum aus. Auch an diesem Tag erschien wieder keiner. Also rief ich im kostenpflichtigen Kundencenter an und schilderte der Dame am Telefon meine Lage. Sie ließ mich mit der Information stehen, dass es ein Problem mit dem Paket gegeben habe und ich mich an dem Verkäufer wenden müsse. Dies habe ich getan .... und habe bis heute noch keine Antwort geschweige denn meinen bestellten Artikel erhalten. Noch dazu bin ich 35€ ärmer!;1;
Leider bin ich sehr enttäuscht, dass der Eitrenner nicht wirklich 'funktioniert' Die meisten Eier sind zu groß und werden nicht getrennt. Oder das Eigelb geht kaputt und fließt mit in das Eiweiß. Der Trenner besteht leider aus sehr dünnem Plastik. Würde ich nicht mehr kaufen.;1;
Hier kann ich leider nicht einen Stern geben. Der Ball kam, die Kinder haben sich gefreut, und der Ball war kaputt, nicht mal einen Tag hat er durch gehalten.;1;
Kerzen brennen zu schnell ab, da gibt es bessere. Würde ich nicht noch mal kaufen. Verkäufer hat jedoch schnell geliefert und gut verpackt.;1;
Dieses Glas macht, macht alles, nur nicht auf dem Handy kleben. Fällt sofort wieder ab.;1;
Ganz klare Empfehlung: Nicht kaufen. Warum: - total Minderwertige Qualität - liegt an den Rändern nicht an, wodurch es einen weißen Rand gibt - schon beim abziehen der Schutzfolie kann es zu leichten rissen in der Folie kommen - Displayqualität wird deutlich schlechter. Wirkt wie leichte Schlieren Finder weg von diesem Produkt. Habe es wieder zurück geschickt;1;
Fast nicht lesbar. Von der Optik her ein Desaster;1;
Es ist mir ernsthaft ein Rätsel, wie dieses Produkt an die ganzen positiven Bewertungen kommt! Dieses Produkt ist Quatsch und völlige Geldverschwendung! Das Pad hält nicht mal 4 Minuten die Wärme (Timer lief mit), obwohl er vorher 15 Minuten in kochendem Wasser aufgewärmt wurde!! Noch unverschämter ist aber, dass man diesen Artikel NICHT retournieren kann!! Sowas habe ich noch nie bei einem Amazon-Produkt erlebt und ich finde es besonders in dem Fall eine Frechheit, weil das Produkt nichts nützt und die Augen nicht anwärmt, um sie anschließend zu massieren! Bloß die Finger davon lassen!;1;
Tasche bereits nach 2 benutzungen an den Seiten aufgerissen. Innenfutter komplett aufgerissen;1;
Ich bin enttäuscht. Ich habe nur einmal das Produkt EBL AA Ni MH Akku erhalten. Hatte 2x bestellt. Bitte um Antwort;1;
Schon nach nicht so langer Zeit drückt sich das Metallgerüst in die Polsterung und wird unerträglich beim sitzen. NICHT zu empfehlen.;1;
Leider bleibt der Stecker im Telefon stecken wenn du ihn aus dem Telefon ziehst. Zudem ist das Magnet nicht wirklich so stark wie beschrieben. Darum geht das Kabel direkt wieder zurück;1;
am angang sehr gut allerdings paar tage später schon luft beim saugen wahrscheinlich durch ein loch im rohr. sehr schade ...;1;
Ziemlich viel Geld für ein kleines Stückchen Plastik;1;
Haben im Dezember das Erdmännchen gekauft und jetzt im März/April rausgestellt. 2-3 Mal hat das Erdmännchen geleuchtet, danach nie wieder. Sehr schade!;1;
Bei mir, funktionierte dieser Receiver nicht. Mit Ausnahme von 3-4 völlig uninteressanten Sendungen, sahen alle anderen als Verschlüsselt aus! Leider, das ist meine Erfahrung mit diese Apparat!;1;
Ich kann die schlechten Bewertungen nur unterstützen. Dieses Set scheint auf den ersten Blick erstmal gut zu sein, aber sobald es in Einsatz kam war es eine absolute Katastrophe. Sehr viel spiel und hat den Nockenwellen nicht stand gehalten und ging kaputt. Das einzigst positive war das ich es problemlos wieder zurück senden konnte.;1;
Keine Verpackung, ein billiges gebrauchtes Stück Plastik (sieht null aus wie auf der Packung!), kein License key (kann man noch separat erwerben für 10€ oder so), alles in allem einfach nur schlecht und eine totale Fehlinvestition.;1;
Leider war das Set unvollständig und die Kette gar nicht enthalten. Die Brille ist viel zu klein.;1;
Aufpassen! Das Plastik Rohr ist leider für feuchtere Böden nicht geeignet da der untere Deckel des Rohres nur mit gelben Klebestreifen wie auf der Abbildung zu sehen ist zusammen geklebt ist so das es provisorisch nicht auseinander fällt. Gräbt man das Rohr ein so tritt an der Schwachstelle Wasser ein und beginnt nach kurzer Zeit zu stinken. Die Flaschen Halterung wäre praktisch und stabil gebaut aber was hilft es einem wenn das Rohr nicht Wasser dicht gebaut ist. Lg;1;
Also diese Jauche richt nach nichts trotz Nase direkt an der Flasche. Schade um das Geld. Keine Kaufempfehlung;1;
Überlaufschutz ist nicht vorhanden, Behälter wird nicht mit Druck verschlossen, nicht geschirrspülerfest und der Topf darf nicht ohne Aufsicht gelassen werden - Dinge die versprochen und nicht erfüllt wurden.;1;
Gerät funktioniert seit heute nicht mehr. Ist kaputt. Schade.;1;
Leider war dieser Kauf ein absoluter Reinfall. Die Hülle macht einfach nur einen billigen und minderwertigen Eindruck. Sie riecht unangenehm und fasst sich auch nicht besonders angenehm an. Die Innenseite des Covers fusselt total. Die Sleep/Wake Funktion hat bwi mir auch nicht immer funktioniert, ebensowenig hielt das Cover auf der Rückseite, wenn man es umgeklappt hat. Na klar ist der Preis super und natürlich sind die original Apple Cover viel zu teuer, aber das hier ist Mist. Ging umgehend zurück an amazon. Dann lieber etwas mehr ausgeben, wenn man schon das viele Geld für ein iPad Pro in die Hand nimmt.;1;
Optisch super klasse - war echt zufrieden... kam leider schon etwas wacklig mit den Bügeln an und hat sich nach mehrfachem Gebrauch dann mal von einem Bügel verabschiedet... schade;1;
Das erste mal enttäuscht, Artikel total zerstört wegen sehr schlechter Verpackung und Verkäufer 15% Nachlass angeboten bekommen, bis heute kein Ersatz oder Geld zurück;1;
Ich habe das Shirt nie erhalten und auch keine Antwort auf meine Anfrage bekommen! Bin sehr enttäuscht! ! ! !;1;
Wir haben dieses Kofferset erhalten und wagten uns damit in den Urlaub.Leider haben zwei der Koffer diese Reise nicht überlebt. Der Händler forderte uns auf den Schaden durch die Fluggesellschaft regulieren zu lassen. Da sich der Schaden mit anderen Käufern deckt weigern wir uns da es sich hier um Qualitätsmängel handelt. Die als so robust angepriesenen Koffer sollten doch mehr als nur eine Reise überstehen.Eigentlich weniger als ein Stern.;1;
Absoluter Fehlkauf Die Fliegenklatschen waren schnell da. Schon beim Öffnen war klar das damit leichte viele Fliegen ihr Ende finden. Die klatschen sind so dünn verarbeitet das man kaum Chance hat irgendwas damit zu erwischen.;1;
Meine Ware ist leider noch nicht da sollte schon längs da sein kein verlass auf euch werde auch nie wieder was bestellen es sollte ein Geburtstag Geschenk sein leider zu spät;1;
Wir waren von dem Film und der Story sehr enttäuscht und würden ihn sicher nicht nochmal kaufen.;1;
Der gelieferte kopfhörer weich von der artikelbeschreibung ab: 1. Die kabellänge beträgt max. 2 mtr 2. Der lautstärkeregler fehlt 3. Der stecker für 6,3 mm klinke fehlt;1;
Es ist bestimmt ein ganz tolles Produkt, aber ich habe den falschen Artikel bekommen - bemängelt, zurückgeschickt, nochmal bestellt und... nochmal das falsche bekommen. Also: Empfehlung sicher, aber sichert Euch erstmal eine Notfalllösung!;1;
es wurde als markiert zugestellt aber keines am Ablageort, hab es am abend kontrolliert, leider wieder nichts gefunden, hermes mal wieder;1;
Edit: Folie überhaupt nicht empfehlenswert, löst sich genauso schnell vom Handy, wie sie sich anbringen lässt! Ein Schutz für das Handy ist somit nicht garantiert! An sich ist es eine gut geschnittene, leicht anbringbare und blasenfrei Folie für das S8+. Ich war auch mit ihr zufrieden nur nocheinmal kaufen würde ich sie nicht. Warum? Schreibt man auf dem Handy einen längeren Text, so wie ich das gerade tue, ergibt sich ein nerviger Sound, der bei jeder Berührung zu Stande kommt, da die Folie ich sag mal nicht genau auf dem Handy liegt... Erfüllt also den Zweck, für den Preis habe ich jedoch mehr erwartet.;1;
Kann dazu nichts sagen. Keine gratis Testphase möglich. Bei Anmeldung wird gleich nach der Zahlungsart gefragt.;1;
in meinem Fall härtet der Kleber nicht aus. Auto-Seitenspiegel damit präpariert, mit Klebeband abgedichtet und nach Juni/Juli wieder abgezogen -> Kelber bildet eine Silikonartige Masse Gestern versucht eine Glasschale zu kleben -> härtet nicht aus (ca 30 min mit einer UV-Taschenlampe bestrahlt) ggf. habe ich eine schlechte charge erwischt? Werde nächstes mal wohl Sekundenkleber benutzten..;1;
Absolut nicht zu empfehlen es ist klebrig und zerstört die gestylte Frisur.;1;
Diese Gürtelschnalle ist Blog sinnlos denn sie hält das Gurtband nicht. Es gibt keine Zahnung sodass der Gurt auch wenn die Schnalle geschlossen ist einfach durchrutscht. Völliger Fehlkauf;1;
Nicht den richtigen Artikel bekommen. Hülle war für ein anderes Händy.;1;
Leider hab ich die Geschenkkarte in einer anderen Verpackung erhalten, die ich so niemals bestellt hätte... Schade!;1;
Kaufe ich nicht noch mal die tabs sind wohl uralt sind einzeln verpackt beim aufmachen zerbröseln die tabs;1;
Nicht gut Kette und Anhänger färben auf der Haut ab;1;
Die Lampe machte zunächst einen ordentlichen Eindruck. Jedoch waren einige LEDs bereits bei der Auslieferung defekt. Der daraufhin kontaktierte Lieferant ignorierte mein Anschreiben. Die dazugehörige Zeitschaltuhr hat alle paar Wochen den Dienst quittiert. Da ich nicht so häufig in den Keller gehe, in dem die Lampe bei der Überwinterung Licht spenden sollte, stellte ich dies meist - offenbar jeweils einige Tage nach dem Ausfall fest - da die Pflanzen kurz vor dem krepieren waren. Die Zeitschaltuhr ließ sich mehrmals wieder aktivieren, ist nun aber nach wenigen Monaten ganz defekt, die Lampe lässt sich nicht mehr einschalten. Die Pflanzen sind nun alle eingegangen. Ich rate dringend von dem Kauf des Artikels ab.;1;
Ich wurde abgezockt!! Ich würde hier nichts kaufen! Geld hab ich auch nicht zurückerhalten!!!;1;
Zweimal bestellt und zweimal das selbe Problem. Die Schraube ist von der Oberfläche gerissen, weswegen ist es nicht stabil und zerfällt in zwei Teile.;1;
Funktionierte irgendwie nicht, auch nicht in der prallen Sonne.;1;
bei mir hat das Serum leider gar nichts gebracht. Habe es auch täglich nach Anweisung benutzt. Sehr schade ums Geld.;1;
Ich habe den Artikel nicht erhalten,obwohl man mir geschrieben hat, Artikel erhalten Frechheit von wegen Prime.Versandservice der auch noch lügt.Bin sehr entäuscht da ich das Kabel dringend gebraucht hätte.;1;
Habe zwei LED gekauft. Eine war nach wenigen Stunden kaputt. Erste in Flackern, dann ein Knall, Sicherung raus und Brandgeruch. Die Helligkeit ist auch geringer als gedacht;1;
Grundlegende funktionalität wird zwar gewährleistet, aber zu meinem bedauern muss ich sagen, das die meisten geräte nicht erkannt werden oder die verbindungen sehr instabil sind, manche werden auch nach erstmaliger verbindung garnicht akzeptiert Neu installation und patchen hatte leider auch nicht geholfen;1;
Von der Qualität her wahrscheinlich nicht schlecht . Aber es sollte irgendwo stehen,dass die Schienbeinschoner für Kinder sind . Einfach schlecht beschrieben.;1;
der Artikel ist bis heute 6.12.2018 19:00 Uhr nicht eingetroffen. !!!!!! ganz schlecht.;1;
Zwei Stück kamen an - eins schon von Haus aus kaputt - Ersatz geschickt bekommen - Danke - trotzdem nach kurzer Zeit beide kaputt - China Schrott;1;
Das Netz kam schon mit einem Loch bei mir an. Da ich es aber dringend brauchte, habe ich es dennoch angebracht. Die Qualität ist leider nicht gut, ständig reißt das Netz an neuen Stellen und ist definitiv weder reißfest noch hochwertig. Lieber mehr investieren für ein vernünftiges Netz.;1;
Die Kamera ist für die Wasser geeignet war aber nach 2 Nutzung kaputt. Die Bilder, die ich mir der Kamera gemacht habe waren auch nicht etwas besonders.;1;
Es handelt sich bei dem Produkt um eine Auflistung mit Sprüchen/Zitaten, die man so bei Instagram-Stories lesen kann. Es ist (meiner Meinung nach) sein Geld nicht wert. Neben den ganzen Rechtschreib-Fehlern findet man auch viele Grammatik- und Satzbau-Fehler. Das ist peinlich.;1;
Kaum hat man Kapseln im Mund entwickelt sich ein sehr unangenehmer Geschmack. Eigentlich riecht man es schon, wenn man die Dose öffnet. Denke ich werde Kapseln wegwerfen. Hab richtig Ekel davor. Werde wieder auf ein anderes Präparat ausweichen.;1;
Hat erstmal sehr lange gebraucht und ist nach einem Tag kaputt gegangen diese;1;
Die Ware sollte vom 07.05. bis 10.05.2019 geliefert werden. Bisher habe ich sie nicht erhalten.;1;
Wie soll ich was zurückschicken wenn ich dies nicht erhalten habe ? LG;1;
Ich hatte das Garmin etrex schon einige Zeit in Benutzung und es war gut. Nach einem Softwareupdate und Karten update über Garmin Connect ging es noch 2 mal an und jetzt kann ich es nicht mehr einschalten. Keine Reaktion auf Taster. Leider passierte mir das während einer Fahrradtour (nach der Abfahrt mit dem Zug).;1;
Das Produkt ist nicht so einfach zu befestigen, an meiner Drohne musste ich extra Kleber benutzen!;1;
Tischplatte war angeschlagen und der Versand war auch nicht so umwerfend. Wurde einfach beim Nachbarn abgestellt ohne eine Mitteilung. Löcher mußte ich auch nachbohren.;1;
Flasche wurde offen geliefert ! die Verpackung fehlt überhaupt und der Geruch ist wie billiger Alkohol ! eigentlich schade wenn man ein so tolles Produkt derartig abwertet;1;
Nach 3 Monaten mit der Kette habe ich beschlossen einen neuen Schloss zu kaufen weil die Kette einfach viel zu schwer und unpraktisch für den Alltag ist! Kann ich echt nur denen empfehlen, die kein Problem damit haben ihr Fahrrad um in den meisten Fällen 30-40% schwerer zu machen. Ansonsten gut verarbeitet und echt sicher;1;
Der Artikel funktioniert überhaupt nicht. Seit drei Wochen kein Empfang mehr. Absoluter Schrott. Absolut nicht zu empfehlen , ich rate vom Kauf ab.;1;
Ware ist nie angekommen. Verkäufer hat auf zwei Nachrichten nicht reagiert. Über einen Monat hinter der geplanten Zustellung. Null Sterne;1;
Wir haben eine andere Mütze erhalten. Bei der Rückgabe gibt es Probleme. Wir haben jetzt Amazon eingeschaltet!;1;
wurde für Douglasie eingesetzt der Abstandshalter macht Rillen ins Holz die man mühsam wieder raus schleifen muss doppelte Arbeit daher nicht zu gebrauchen gehobeltes oder geschliffenes Holz .;1;
Qualität leider sehr minderwertig. Beim ersten Ausprobieren am Küchen-Heizkörper (unsere Magnettafel) hat es aufgrund der - sehr rauen Oberfläche - ungleichmäßigen, nicht entgrateten und scharfen Kanten leider gleich den Lack beschädigt. Ware wurde anstandslos zurückgenommen und gutgeschrieben.;1;
Nach einmal tragen ist der Anker (Verschluss) gebrochen, hätte das Armband fast verloren. Keine Kaufempfehlung!;1;
Nach einem Jahr hat das Teil sich verabschiedet. Irgend ein technischer Defekt (Akku oder Schalter) . Da Anbieter aus China kommt also kein Umtausch möglich ,wird das Gerät jetzt entsorgt.;1;
Da mir mein Becher Kaffee am PC zu schnell kalt wird, überlegte ich nach einer Möglichkeit zum warmhalten, ohne einen Thermobecher zu benutzen. USB-Wärmeplatten schieden aus, zu schlecht waren die Bewertungen. Ich entschied mich für diese Wärmeplatte. Es scheint davon mehrere Modelle zu geben, da jemand an seinem Ein/Ausschalter mehrere Farben gesehen haben will. Ich habe bei meinem Gerät nur rot für Eingeschaltet, bzw. wenn das Gerät aus ist leuchtet auch nichts. Mehr gibts nicht, kein Standby oder 50% oder so. Ein oder Aus. Ich nutze einen ganz normalen Porzellanbecher mit kleinem überstehenden Bodenrand, was absolut nichts ausmacht. Der Kaffee bleibt heiß, auch nach einer Stunde noch, so gut heizt die Platte. Es ist also unnötig, sich einen unten flachen Edelstahlbecher zu kaufen. Wer trinkt schon gerne aus einem Metallbecher? Normale Tassen oder Becher reichen. Ich bin zufrieden und kann die Wärmeplatte gerne weiter empfehlen. Nachtrag nach zehn Tagen: Auf der Hitzeplatte entstand ein Riss, vermutlich wegen großer Hitze. Das ist sehr unschön, ich ziehe meine Produktempfehlung zurück und korrigiere die Anzahl der Sterne!;1;
Ich bekomme sodbrennen;1;
Die Bedienung ist doch sehr mühsam und die Größe der Frucht muss genau passen...dann doch lieber per Hand und Messer.;1;
Leider war die Maschine schon defekt und konnte auch mit Hilfe des DeLonghi Kundenservice in Betrieb genommen werden. Ging daher als defekt zurück.;1;
Ich hatte mich so sehr auf die Kamera gefreut - leider ist von 8 Bildern kein einziges von der Belichtung her ansprechend gewesen. Kamera geht zurück. Schade.;1;
Ware würde bis heute 7.11. Nicht geliefert;1;
Wenn ich einen Sonnenschirm in weiß bestelle, erwarte ich auch einen weißen Schirm. Aber aus weiß wurde grün. Da es ein Geschenk war und ich nicht mit leeren Händen zur Feier erscheinen wollte habe ich auf die Rücksendung verzichtet.;1;
Beschreibung leider nur auf englisch Schlechte Bildqualität Da ist meine zehn Jahre alte Endoskop Kamera noch genauso gut;1;
Die Bestellte Ware ist noch nicht da, obwohl laut Plan, musste am 18.04 .2018 geliefert sein. Wir warten immer noch auf unsere Bestellung. Das Geld wurde sofort abgebucht. Sehr schlechte Leistung.;1;
Ich kann nur vor dieser Autoabdeckung warnen. Bei Nässe und anschließendem Frost klebt der Filz wahnsinnig fest am Autolack. Ich habe die Abdeckung nur mit Gewalt runterbekommen, große Filzteile blieben auf dem Autodach zurück. 2 Mal benutzt und nur noch zum Wegwerfen geeignet. Wie kann man auf die Idee kommen, Filz als Unterseite der Abdeckung zu verwenden. Ansonsten ist die Passform und Grundidee ja gut....;1;
Ist okay kleiner als abgebildete.....Kette viel zu dünn.....Würde es nicht mehr kaufen. Lieferung war echt schnell sehr gut schön verpackt;1;
Die Batterien sind nach ca. 5 leer;1;
...... Absoluter Müll leider kann man weder eine Kartoffel oder Gurke mit dem spiralschneider schneiden ...... sehr schade für das Geld;1;
ICh hatte Probleme mit denen kleinen teilchen was das gerät befestigt, da es so unstabil war ist es mir kaputt gegangen und konnte es leider nicht benutzten. Wenn Sie was dagegen tun können,würde es mich freuen. Danke im Voraus;1;
ist nicht weiss sondern vergilbt, wie drauf gepinkelt.;1;
Pappe ist nicht stabil genug! Schnelles Einreißen garantiert schon wenn das Gewicht im Karton 'normal' ist! Lieber gleich etwas ordentliches kaufen!;1;
Habe das Gerät nicht erhalten und in den Briefkasten passt die Sendung nicht;1;
Leider gar nicht zu empfehlen. Bringt wirklich gar nichts! Man wird dadurch nur schlechter. Einmal ausprobiert und jetzt liegt es unnötig Zuhause herum.;1;
